Fall,College,Major Name,Total,Male,Female
2005.0,KL ,Agr & Environmental Cmc & Educ ,103.0,30.0,73.0
2005.0,KL ,Agr Engineering & Agr Science ,37.0,34.0,3.0
2005.0,KL ,"Agribusiness, Farm & Financial ",317.0,232.0,83.0
2005.0,KL ,Animal Sciences ,507.0,126.0,381.0
2005.0,KL ,Consumer and Textile Marketing ,54.0,2.0,52.0
2005.0,KL ,Crop Sciences ,94.0,69.0,24.0
2005.0,KL ,Food Science & Human Nutrition ,394.0,99.0,295.0
2005.0,KL ,Forestry ,1.0,1.0,0.0
2005.0,KL ,Horticulture ,72.0,48.0,24.0
2005.0,KL ,Human Development & Family St ,216.0,13.0,202.0
2005.0,KL ,"Intl, Resource, Consumer Econ ",174.0,105.0,69.0
2005.0,KL ,Natural Resrcs & Environ Sci ,196.0,122.0,74.0
2005.0,KL ,Technical Systems Management ,92.0,86.0,6.0
2005.0,KM ,Accountancy ,933.0,524.0,408.0
2005.0,KM ,Business Administration ,844.0,428.0,416.0
2005.0,KM ,Economics ,16.0,12.0,4.0
2005.0,KM ,Finance ,803.0,571.0,231.0
2005.0,KN ,Early Childhood Education ,58.0,2.0,56.0
2005.0,KN ,Education General ,1.0,1.0,0.0
2005.0,KN ,Elementary Education ,302.0,20.0,282.0
2005.0,KN ,Special Education ,76.0,4.0,72.0
2005.0,KP ,Aerospace Engineering ,349.0,297.0,52.0
2005.0,KP ,Agricultural Engineering ,58.0,50.0,8.0
2005.0,KP ,Bioengineering ,52.0,37.0,15.0
2005.0,KP ,Civil Engineering ,493.0,393.0,100.0
2005.0,KP ,Computer Engineering ,563.0,520.0,42.0
2005.0,KP ,Computer Science ,650.0,589.0,59.0
2005.0,KP ,Electrical Engineering ,855.0,748.0,107.0
2005.0,KP ,Engineering Mechanics ,78.0,63.0,15.0
2005.0,KP ,Engineering Physics ,101.0,87.0,14.0
2005.0,KP ,General Engineering ,601.0,489.0,112.0
2005.0,KP ,Industrial Engineering ,66.0,43.0,23.0
2005.0,KP ,Materials Science & Engr ,212.0,165.0,47.0
2005.0,KP ,Mechanical Engineering ,829.0,733.0,93.0
2005.0,KP ,Nuclear Engineering ,95.0,84.0,11.0
2005.0,KR ,Architectural Studies ,534.0,308.0,226.0
2005.0,KR ,Art Education ,78.0,10.0,68.0
2005.0,KR ,Crafts ,22.0,7.0,15.0
2005.0,KR ,Dance ,54.0,6.0,48.0
2005.0,KR ,Graphic Design ,75.0,21.0,54.0
2005.0,KR ,History of Art ,22.0,3.0,19.0
2005.0,KR ,Industrial Design ,98.0,47.0,51.0
2005.0,KR ,Instrumental Music ,122.0,52.0,70.0
2005.0,KR ,Landscape Architecture ,114.0,80.0,34.0
2005.0,KR ,Music ,3.0,2.0,1.0
2005.0,KR ,Music Composition ,9.0,8.0,1.0
2005.0,KR ,Music Education ,201.0,82.0,119.0
2005.0,KR ,Music History ,1.0,0.0,1.0
2005.0,KR ,Open Studies ,20.0,15.0,5.0
2005.0,KR ,Painting ,48.0,16.0,32.0
2005.0,KR ,Photography ,33.0,11.0,22.0
2005.0,KR ,Sculpture ,15.0,8.0,7.0
2005.0,KR ,Theatre ,143.0,67.0,76.0
2005.0,KR ,Urban Planning ,129.0,71.0,58.0
2005.0,KR ,Voice ,19.0,3.0,16.0
2005.0,KT ,Advertising ,235.0,59.0,176.0
2005.0,KT ,Broadcast Journalism ,79.0,30.0,49.0
2005.0,KT ,Media Studies ,122.0,34.0,88.0
2005.0,KT ,News-Editorial ,125.0,48.0,77.0
2005.0,KV ,Actuarial Science ,249.0,167.0,82.0
2005.0,KV ,Anthropology ,144.0,49.0,95.0
2005.0,KV ,Astronomy ,41.0,26.0,15.0
2005.0,KV ,Biochemistry ,282.0,148.0,133.0
2005.0,KV ,Bioengineering ,1.0,1.0,0.0
2005.0,KV ,Biology ,41.0,20.0,21.0
2005.0,KV ,Chemical Engineering ,294.0,187.0,106.0
2005.0,KV ,Chemistry ,468.0,251.0,217.0
2005.0,KV ,Classics ,26.0,12.0,14.0
2005.0,KV ,Comparative Literature ,14.0,3.0,11.0
2005.0,KV ,E Asian Languages & Cultures ,45.0,30.0,15.0
2005.0,KV ,Economics ,678.0,522.0,156.0
2005.0,KV ,English ,921.0,280.0,640.0
2005.0,KV ,Finance ,162.0,117.0,45.0
2005.0,KV ,French ,67.0,17.0,50.0
2005.0,KV ,Geography ,45.0,38.0,7.0
2005.0,KV ,Geology ,57.0,36.0,21.0
2005.0,KV ,Germanic Lang & Lit ,23.0,13.0,10.0
2005.0,KV ,History ,570.0,352.0,217.0
2005.0,KV ,History of Art ,30.0,2.0,28.0
2005.0,KV ,Humanities ,7.0,5.0,2.0
2005.0,KV ,Individual Plans of Study ,5.0,2.0,3.0
2005.0,KV ,Integrative Biology ,251.0,113.0,138.0
2005.0,KV ,Interdisciplinary ,38.0,18.0,20.0
2005.0,KV ,International Studies ,317.0,92.0,225.0
2005.0,KV ,Italian ,7.0,1.0,6.0
2005.0,KV ,Latin American Studies ,6.0,3.0,3.0
2005.0,KV ,Linguistics ,43.0,20.0,23.0
2005.0,KV ,Math & Computer Science ,128.0,117.0,10.0
2005.0,KV ,Mathematics ,357.0,204.0,153.0
2005.0,KV ,Molecular & Integrative Physi ,2.0,1.0,1.0
2005.0,KV ,Molecular and Cellular Biology ,794.0,324.0,469.0
2005.0,KV ,Music ,17.0,10.0,7.0
2005.0,KV ,Philosophy ,97.0,74.0,23.0
2005.0,KV ,Physics ,187.0,145.0,42.0
2005.0,KV ,Political Science ,1015.0,618.0,394.0
2005.0,KV ,Portuguese ,1.0,1.0,0.0
2005.0,KV ,Psychology ,1199.0,319.0,880.0
2005.0,KV ,Religious Studies ,29.0,17.0,12.0
2005.0,KV ,Rhetoric ,134.0,72.0,62.0
2005.0,KV ,Russian & E European Studies ,4.0,4.0,0.0
2005.0,KV ,Russian Lang & Literature ,4.0,1.0,3.0
2005.0,KV ,Sociology ,429.0,139.0,290.0
2005.0,KV ,Spanish ,267.0,82.0,185.0
2005.0,KV ,Speech Communication ,427.0,181.0,246.0
2005.0,KV ,Statistics ,37.0,27.0,10.0
2005.0,KV ,Statistics & Computer Science ,10.0,9.0,1.0
2005.0,KV ,Teaching of French ,8.0,2.0,6.0
2005.0,KV ,Teaching of German ,2.0,1.0,1.0
2005.0,KV ,Teaching of Spanish ,27.0,3.0,24.0
2005.0,KY ,Community Health ,415.0,94.0,321.0
2005.0,KY ,Kinesiology ,600.0,241.0,359.0
2005.0,KY ,Leisure Studies ,381.0,240.0,140.0
2005.0,KY ,"Recreation, Sport, and Tourism ",10.0,8.0,2.0
2005.0,KY ,Speech & Hearing Science ,229.0,9.0,220.0
2005.0,LE ,Aviation Human Factors ,183.0,168.0,15.0
2006.0,KL ,Agr & Consumer Economics ,250.0,154.0,96.0
2006.0,KL ,Agr & Environmental Cmc & Educ ,98.0,24.0,74.0
2006.0,KL ,Agr Engineering & Agr Science ,42.0,38.0,4.0
2006.0,KL ,"Agribusiness, Farm & Financial ",208.0,158.0,49.0
2006.0,KL ,Animal Sciences ,526.0,142.0,383.0
2006.0,KL ,Consumer and Textile Marketing ,31.0,1.0,30.0
2006.0,KL ,Crop Sciences ,99.0,72.0,27.0
2006.0,KL ,Food Science & Human Nutrition ,369.0,92.0,277.0
2006.0,KL ,Horticulture ,72.0,47.0,25.0
2006.0,KL ,Human Development & Family St ,222.0,20.0,202.0
2006.0,KL ,"Intl, Resource, Consumer Econ ",116.0,68.0,48.0
2006.0,KL ,Natural Resrcs & Environ Sci ,211.0,121.0,90.0
2006.0,KL ,Technical Systems Management ,73.0,68.0,4.0
2006.0,KM ,Accountancy ,886.0,484.0,398.0
2006.0,KM ,Business Administration ,646.0,309.0,337.0
2006.0,KM ,Economics ,7.0,6.0,1.0
2006.0,KM ,Finance ,643.0,481.0,161.0
2006.0,KN ,Early Childhood Education ,52.0,0.0,52.0
2006.0,KN ,Elementary Education ,299.0,18.0,280.0
2006.0,KN ,Special Education ,69.0,6.0,63.0
2006.0,KP ,Aero & Astro Engineering ,1.0,1.0,0.0
2006.0,KP ,Aerospace Engineering ,368.0,319.0,49.0
2006.0,KP ,Agricultural Engineering ,49.0,40.0,9.0
2006.0,KP ,Bioengineering ,80.0,51.0,29.0
2006.0,KP ,Civil Engineering ,523.0,412.0,111.0
2006.0,KP ,Computer Engineering ,477.0,439.0,36.0
2006.0,KP ,Computer Science ,622.0,561.0,59.0
2006.0,KP ,Electrical Engineering ,798.0,711.0,87.0
2006.0,KP ,Engineering Mechanics ,62.0,47.0,15.0
2006.0,KP ,Engineering Physics ,124.0,110.0,14.0
2006.0,KP ,General Engineering ,561.0,452.0,109.0
2006.0,KP ,Industrial Engineering ,69.0,48.0,21.0
2006.0,KP ,Materials Science & Engr ,230.0,174.0,56.0
2006.0,KP ,Mechanical Engineering ,843.0,747.0,94.0
2006.0,KP ,Nuclear Engineering ,99.0,88.0,11.0
2006.0,KR ,Architectural Studies ,525.0,310.0,215.0
2006.0,KR ,Art Education ,79.0,11.0,68.0
2006.0,KR ,Crafts ,23.0,6.0,17.0
2006.0,KR ,Dance ,56.0,5.0,51.0
2006.0,KR ,Graphic Design ,75.0,26.0,49.0
2006.0,KR ,History of Art ,16.0,0.0,16.0
2006.0,KR ,Industrial Design ,100.0,54.0,46.0
2006.0,KR ,Instrumental Music ,136.0,61.0,74.0
2006.0,KR ,Landscape Architecture ,113.0,71.0,42.0
2006.0,KR ,Music ,18.0,11.0,7.0
2006.0,KR ,Music Composition ,12.0,10.0,2.0
2006.0,KR ,Music Education ,223.0,99.0,124.0
2006.0,KR ,Music History ,2.0,1.0,1.0
2006.0,KR ,Open Studies ,22.0,18.0,4.0
2006.0,KR ,Painting ,46.0,17.0,29.0
2006.0,KR ,Photography ,32.0,13.0,19.0
2006.0,KR ,Sculpture ,12.0,7.0,5.0
2006.0,KR ,Theatre ,96.0,45.0,51.0
2006.0,KR ,Urban Planning ,130.0,81.0,49.0
2006.0,KR ,Voice ,21.0,4.0,17.0
2006.0,KT ,Advertising ,338.0,90.0,248.0
2006.0,KT ,Broadcast Journalism ,84.0,32.0,52.0
2006.0,KT ,Media Studies ,128.0,44.0,84.0
2006.0,KT ,News-Editorial ,144.0,55.0,89.0
2006.0,KV ,Actuarial Science ,281.0,189.0,92.0
2006.0,KV ,American Civilization ,1.0,1.0,0.0
2006.0,KV ,Anthropology ,165.0,50.0,115.0
2006.0,KV ,Astronomy ,37.0,23.0,14.0
2006.0,KV ,Biochemistry ,237.0,122.0,115.0
2006.0,KV ,Biology ,26.0,8.0,18.0
2006.0,KV ,Cell and Structural Biology ,1.0,1.0,0.0
2006.0,KV ,Chemical Engineering ,328.0,208.0,119.0
2006.0,KV ,Chemistry ,540.0,291.0,248.0
2006.0,KV ,Classics ,31.0,19.0,12.0
2006.0,KV ,Comparative Literature ,18.0,5.0,13.0
2006.0,KV ,E Asian Languages & Cultures ,63.0,40.0,23.0
2006.0,KV ,Economics ,786.0,583.0,200.0
2006.0,KV ,English ,930.0,288.0,640.0
2006.0,KV ,Finance ,188.0,131.0,57.0
2006.0,KV ,French ,76.0,15.0,61.0
2006.0,KV ,Geography ,43.0,32.0,11.0
2006.0,KV ,Geology ,58.0,37.0,21.0
2006.0,KV ,Germanic Lang & Lit ,32.0,19.0,13.0
2006.0,KV ,History ,565.0,349.0,215.0
2006.0,KV ,History of Art ,32.0,4.0,28.0
2006.0,KV ,Humanities ,8.0,3.0,5.0
2006.0,KV ,Individual Plans of Study ,9.0,7.0,2.0
2006.0,KV ,Integrative Biology ,301.0,140.0,161.0
2006.0,KV ,Interdisciplinary ,39.0,20.0,19.0
2006.0,KV ,International Studies ,356.0,102.0,254.0
2006.0,KV ,Italian ,7.0,1.0,6.0
2006.0,KV ,Latin American Studies ,7.0,5.0,2.0
2006.0,KV ,Linguistics ,59.0,27.0,32.0
2006.0,KV ,Math & Computer Science ,120.0,111.0,8.0
2006.0,KV ,Mathematics ,368.0,198.0,170.0
2006.0,KV ,Molecular and Cellular Biology ,943.0,435.0,506.0
2006.0,KV ,Music ,8.0,3.0,5.0
2006.0,KV ,Philosophy ,91.0,71.0,20.0
2006.0,KV ,Physics ,177.0,141.0,35.0
2006.0,KV ,Political Science ,1054.0,599.0,454.0
2006.0,KV ,Psychology ,1264.0,346.0,917.0
2006.0,KV ,Religious Studies ,23.0,15.0,8.0
2006.0,KV ,Rhetoric ,109.0,51.0,58.0
2006.0,KV ,Russian & E European Studies ,5.0,4.0,1.0
2006.0,KV ,Russian Lang & Literature ,6.0,2.0,4.0
2006.0,KV ,Sociology ,462.0,163.0,298.0
2006.0,KV ,Spanish ,315.0,81.0,234.0
2006.0,KV ,Speech Communication ,526.0,233.0,293.0
2006.0,KV ,Statistics ,36.0,22.0,14.0
2006.0,KV ,Statistics & Computer Science ,11.0,9.0,2.0
2006.0,KV ,Teaching of French ,5.0,2.0,3.0
2006.0,KV ,Teaching of German ,4.0,1.0,3.0
2006.0,KV ,Teaching of Spanish ,30.0,3.0,27.0
2006.0,KY ,Community Health ,464.0,97.0,367.0
2006.0,KY ,Kinesiology ,610.0,229.0,381.0
2006.0,KY ,Leisure Studies ,132.0,89.0,43.0
2006.0,KY ,"Recreation, Sport, and Tourism ",240.0,145.0,94.0
2006.0,KY ,Speech & Hearing Science ,252.0,8.0,243.0
2006.0,LE ,Aviation Human Factors ,164.0,148.0,16.0
2007.0,KL ,Agr & Consumer Economics ,503.0,340.0,163.0
2007.0,KL ,Agr & Environmental Cmc & Educ ,90.0,21.0,69.0
2007.0,KL ,Agr Engineering & Agr Science ,44.0,38.0,6.0
2007.0,KL ,"Agribusiness, Farm & Financial ",100.0,79.0,20.0
2007.0,KL ,Animal Sciences ,539.0,135.0,403.0
2007.0,KL ,Consumer and Textile Marketing ,9.0,1.0,8.0
2007.0,KL ,Crop Sciences ,85.0,61.0,24.0
2007.0,KL ,Food Science & Human Nutrition ,354.0,85.0,269.0
2007.0,KL ,Horticulture ,62.0,38.0,24.0
2007.0,KL ,Human Development & Family St ,192.0,14.0,178.0
2007.0,KL ,"Intl, Resource, Consumer Econ ",55.0,30.0,25.0
2007.0,KL ,Natural Resrcs & Environ Sci ,197.0,95.0,101.0
2007.0,KL ,Technical Systems Management ,96.0,92.0,3.0
2007.0,KM ,Accountancy ,773.0,422.0,347.0
2007.0,KM ,Business Administration ,410.0,189.0,220.0
2007.0,KM ,Business Process Management ,2.0,1.0,1.0
2007.0,KM ,Economics ,1.0,1.0,0.0
2007.0,KM ,Finance ,552.0,407.0,144.0
2007.0,KM ,Management ,1.0,0.0,1.0
2007.0,KM ,Marketing ,3.0,1.0,2.0
2007.0,KN ,Early Childhood Education ,60.0,0.0,59.0
2007.0,KN ,Elementary Education ,267.0,20.0,247.0
2007.0,KN ,Special Education ,69.0,8.0,61.0
2007.0,KP ,Aerospace Engineering ,396.0,347.0,49.0
2007.0,KP ,Agricultural Engineering ,46.0,39.0,7.0
2007.0,KP ,Bioengineering ,107.0,64.0,43.0
2007.0,KP ,Civil Engineering ,544.0,415.0,128.0
2007.0,KP ,Computer Engineering ,434.0,397.0,35.0
2007.0,KP ,Computer Science ,596.0,529.0,65.0
