Fall,Term Code,College,Dept.,Degree,Major Code,Major Name,Conc. Code,Conc. Name,Total,Male,Female,Unknown,Academic Program Code
2015.0,120158.0,KP ,227.0,BS ,5163.0,Agricultural & Biological Engr ,5270 ,Agricultural Engineering ,17.0,14.0,3.0,0.0,10KP5163BS
2015.0,120158.0,KP ,227.0,BS ,5163.0,Agricultural & Biological Engr ,5271 ,Biological Engineering ,15.0,11.0,4.0,0.0,10KP5163BS
2015.0,120158.0,KP ,227.0,BS ,5163.0,Agricultural & Biological Engr ,  ,  ,31.0,22.0,9.0,0.0,10KP5163BS
2015.0,120158.0,KV ,241.0,BALAS ,340.0,Anthropology ,5043 ,Socioculturl & Linguistic Anth ,3.0,2.0,1.0,0.0,10KV5043BALA
2015.0,120158.0,KV ,241.0,BALAS ,340.0,Anthropology ,  ,  ,7.0,1.0,6.0,0.0,10KV8037BALA
2015.0,120158.0,KV ,241.0,BSLAS ,5348.0,Computer Sci & Anthropology ,  ,  ,1.0,0.0,1.0,0.0,10KV8037BSLA
2015.0,120158.0,KV ,241.0,BSLAS ,5348.0,Computer Sci & Anthropology ,  ,  ,10.0,8.0,2.0,0.0,10KV5348BSLA
2015.0,120158.0,KV ,241.0,BALAS ,340.0,Anthropology ,  ,  ,75.0,24.0,51.0,0.0,10KV0340BALA
2015.0,120158.0,KP ,244.0,BS ,121.0,Engineering Physics ,  ,  ,248.0,218.0,30.0,0.0,10KP0121BS
2015.0,120158.0,KP ,251.0,BS ,106.0,Civil Engineering ,  ,  ,730.0,536.0,194.0,0.0,10KP0106BS
2015.0,120158.0,KV ,253.0,BSLAS ,334.0,Atmospheric Sciences ,  ,  ,3.0,2.0,1.0,0.0,10KV8037BSLA
2015.0,120158.0,KV ,253.0,BSLAS ,334.0,Atmospheric Sciences ,  ,  ,62.0,34.0,28.0,0.0,10KV0334BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,439.0,Mathematics ,3897 ,Mathematics Teaching Option ,1.0,1.0,0.0,0.0,10KV8037BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,439.0,Mathematics ,3894 ,Operations Research ,3.0,2.0,1.0,0.0,10KV8037BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,439.0,Mathematics ,3896 ,Graduate Preparation ,1.0,1.0,0.0,0.0,10KV3896BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,439.0,Mathematics ,3897 ,Mathematics Teaching Option ,38.0,15.0,23.0,0.0,10KV3897BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,439.0,Mathematics ,3894 ,Operations Research ,5.0,5.0,0.0,0.0,10KV3894BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,1438.0,Math & Computer Science ,  ,  ,9.0,6.0,3.0,0.0,10KV8037BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,439.0,Mathematics ,3895 ,Applied Mathematics ,17.0,9.0,8.0,0.0,10KV8037BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,439.0,Mathematics ,3895 ,Applied Mathematics ,20.0,16.0,4.0,0.0,10KV3895BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,439.0,Mathematics ,  ,  ,32.0,24.0,8.0,0.0,10KV0439BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,439.0,Mathematics ,  ,  ,36.0,17.0,19.0,0.0,10KV8037BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,461.0,Actuarial Science ,  ,  ,49.0,20.0,29.0,0.0,10KV8037BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,461.0,Actuarial Science ,  ,  ,340.0,204.0,135.0,1.0,10KV0461BSLA
2015.0,120158.0,KV ,257.0,BSLAS ,1438.0,Math & Computer Science ,  ,  ,254.0,210.0,44.0,0.0,10KV1438BSLA
2015.0,120158.0,KM ,260.0,BS ,75.0,Finance ,  ,  ,550.0,382.0,168.0,0.0,10KM0075BS
