"College","Major","Total2005","Male2005","Female2005","Salary75","Total2015","Male2015","Female2015"
"KL","Food Science & Human Nutrition",394,99,295,70000,392,83,309
"KV","Psychology",1199,319,880,41000,1333,383,950
"KV","Biochemistry",282,148,133,50000,166,86,80
"KV","Actuarial Science",249,167,82,72000,389,224,164
"KL","Natural Resrcs & Environ Sci",196,122,74,40200,235,124,111
"KV","Statistics",37,27,10,60000,190,118,72
"KV","Political Science",1015,618,394,50000,583,343,240
"KM","Accountancy",933,524,408,56000,945,495,450
"KM","Finance",803,571,231,64000,550,382,168
"KP","Mechanical Engineering",829,733,93,70000,893,754,139
"KR","Architectural Studies",534,308,226,50000,398,218,180
"KP","Engineering Physics",101,87,14,74000,248,218,30
"KP","Computer Science",650,589,59,70000,1113,893,220
"KL","Crop Sciences",94,69,24,40000,158,99,59
"KL","Technical Systems Management",92,86,6,60000,193,173,20
"KY","Kinesiology",600,241,359,41000,547,227,320
"KV","Chemical Engineering",294,187,106,75000,681,498,183
"KV","Math & Computer Science",128,117,10,78000,263,216,47
"KV","History",570,352,217,47000,205,121,84
"KV","Integrative Biology",251,113,138,45000,402,153,249
"KY","Recreation, Sport, and Tourism",10,8,2,43000,265,189,76
"KP","Electrical Engineering",855,748,107,72000,1146,1002,144
"KV","Sociology",429,139,290,44000,191,88,103
"KR","Industrial Design",98,47,51,38300,132,53,79
"KV","Molecular and Cellular Biology",794,324,469,47000,1041,517,524
"KV","Mathematics",357,204,153,60000,153,90,63
"KV","Statistics & Computer Science",10,9,1,60000,107,86,21
"KP","General Engineering",601,489,112,69000,230,172,58
"KY","Community Health",415,94,321,45000,581,141,440
"KP","Engineering Mechanics",78,63,15,74000,112,101,11
"KN","Elementary Education",302,20,282,38000,366,24,342
"KP","Aerospace Engineering",349,297,52,70000,513,462,51
"KM","Economics",16,12,4,65000,894,654,240
"KT","Advertising",235,59,176,47000,562,182,380
"KL","Human Development & Family St",216,13,202,40000,198,24,174
"KV","English",921,280,640,41000,343,99,244
"KP","Bioengineering",52,37,15,70000,249,130,119
"KV","Chemistry",468,251,217,49900,574,337,237
"KV","Physics",187,145,42,68000,386,332,54
"KN","Special Education",76,4,72,42000,125,10,115
"KL","Animal Sciences",507,126,381,40000,523,83,440
"KP","Industrial Engineering",66,43,23,50000,277,201,76
"KY","Speech & Hearing Science",229,9,220,40000,286,13,273
"KP","Civil Engineering",493,393,100,60000,730,536,194
"KP","Computer Engineering",563,520,42,75000,1062,952,109
"KR","Music Education",201,82,119,40000,168,67,101
"KP","Materials Science & Engr",212,165,47,62000,395,279,116
